,Name,Address,District,Type,Lat,Long
26,Mercure Kota,"Jl. Hayam Wuruk No.123, RT.4/RW.6, Mangga Besar, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11180",West Jakarta,Hotel,5.9884543,116.0794754
27,Millennium Hotel Sirih Jakarta,"Jl. H. Fachrudin No.3, Kp. Bali, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 10250",Central Jakarta,Hotel,-6.18269145,106.8167421
28,Mulia Hotel Jakarta,"Jalan Asia Afrika Senayan, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Central Jakarta,Hotel,-6.2151023,106.7970006
29,Novotel Jakarta Cikini,"Jl. Cikini Raya No.107, RT.10/RW.4, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Central Jakarta,Hotel,-6.1955005,106.8405847
30,Novotel Mangga Dua,"Jl. Gn. Sahari No.1, RW.6, Ancol, Jakarta, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",North Jakarta,Hotel,-6.1381756,106.8318856
31,Pullman Jakarta Indonesia,"Jl. M.H. Thamrin No.59, Gondangdia, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10350",Central Jakarta,Hotel,-6.1931781,106.8238174
32,Raffles Jakarta,"Jl. Prof. DR. Satrio No.Kav 3 – 5, Karet Kuningan, Kecamatan Setiabudi, Daerah Khusus Ibukota Jakarta 12940",South Jakarta,Hotel,-6.22412095,106.8239317
33,Shangri-La Hotels,"Jl. Jenderal Sudirman No.Kav. 1, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220",Central Jakarta,Hotel,21.6229472,39.1082413
34,Sheraton Grand Jakarta Gandaria City,"Jl. Arteri Pd. Indah, Kby. Lama Utara, Kec. Kby. Baru, Jakarta, Daerah Khusus Ibukota Jakarta 12240",South Jakarta,Hotel,-6.2452177,106.7830538
35,Swiss-Belhotel Mangga Besar,"Jl. Kartini Raya No.57, RT.3/RW.2, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750",Central Jakarta,Hotel,-6.149578433,106.8341106
36,Swiss-Belresidences Kalibata,"Jl. Raya Kalibata No.22, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",South Jakarta,Hotel,-6.255522148,106.8560317
37,The 1O1 Jakarta Sedayu Darmawangsa,"Jl. Darmawangsa 6 No.14, RT.5/RW.1, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",South Jakarta,Hotel,-6.253891653,106.8017235
38,The Mayflower - Mariott Executive Apartments,"Indofood Tower, Sudirman Plaza, Jl. Jenderal Sudirman No.Kav 76-78, Jakarta 12910",South Jakarta,Hotel,-6.208144524,106.8225309
39,The Ritz-Carlton Jakarta Mega Kuningan,"Jl. DR. Ide Anak Agung Gde Agung Kav.E, Jakarta, Jl. Mega Kuningan Barat No.1, Daerah Khusus Ibukota Jakarta 12950",South Jakarta,Hotel,-6.22852835,106.8271551
40,The Sultan Hotel & Residence Jakarta,"Jl. Gatot Subroto, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Central Jakarta,Hotel,-6.218045073,106.8089642
41,Wyndham Casablanca Jakarta Hotel and Residence,"Jl. Raya Casablanca No.18, RT.4/RW.12, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870",South Jakarta,Hotel,-6.224386953,106.8398461
